Componente ambiental,matriz,Submatriz,Nombre del punto,Este,Norte,Zona,Datum,Altitud,Tipo de muestra,Parámetros que incumplen la norma,Norma de comparación,Descripción de ubicación,FECHA,Aluminio,Aluminio disuelto,Antimonio,Antimonio disuelto,Arsénico,Arsénico disuelto,Bario,Bario disuelto,Berilio,Berilio disuelto,Bicarbonatos,Bismuto,Bismuto disuelto,Boro,Boro disuelto,Cadmio,Cadmio disuelto,Calcio,Calcio disuelto,Carbonatos,Caudal,Cloruros,Cobalto,Cobalto disuelto,Cobre,Cobre disuelto,Conductividad,Cromo,Cromo disuelto,Demanda Química de Oxígeno (DQO),Estaño,Estaño disuelto,Estroncio,Estroncio disuelto,Fósforo,Fósforo disuelto,Hierro,Hierro disuelto,Litio,Litio disuelto,Magnesio,Magnesio disuelto,Manganeso,Manganeso disuelto,Mercurio,Mercurio disuelto,Molibdeno,Molibdeno disuelto,Níquel,Níquel disuelto,Nitratos (NO3-N) + Nitritos (NO2-N),Nitrógeno Amoniacal,Nitrógeno Total,Oxígeno Disuelto,pH,Plata,Plata disuelto,Plomo,Plomo disuelto,Potasio,Potasio disuelto,Selenio,Selenio disuelto,Silicio,Silicio disuelto,Sodio,Sodio disuelto,Sólidos Disueltos Totales (SDT),Sólidos Suspendidos Totales (SST),Sulfatos,Sulfuros,Talio,Talio disuelto,Temperatura,Titanio,Titanio disuelto,Vanadio,Vanadio disuelto,Zinc,Zinc disuelto,4-4῾DDD,4-4῾DDE,4-4῾DDT,4-4῾DDD,4-4῾DDE,4-4῾DDT,Albicarb (parental),Albicarb sulfona,Albicarb sulfóxido,Aldrín,Alfa-BHC (Hexacloruro de Benceno),Beta-BHC (Hexacloruro de Benceno),Chlordane,Coliformes termotolerantes,Delta-BHC (Hexacloruro de Benceno),Dieldrin,Dimethoate,Disulfoton,Endosulfan I,Endosulfan Ii,Endosulfan Sulfate,Endrin,Endrin Aldehyde,Endrin Ketone,EPN (Ethyl p-nitrophenyl),Famphur (Famophos),Gamma-BHC (Lindano),Heptaclor,Heptaclor Epoxide,Malathion,Methoxychlor,Methyl Parathion,Nitritos (NO2-N),"O,O,O-Triethyphosphoticate",Parathion,Phorate,Sulfotep,Thionazin
Agua,Agua superficial,Agua superficial de ríos y quebradas,LICen1,194637,8102351,19 Sur,WGS84,-5,Simple,Ninguno,ECA agua 2017,Ubicado en el mirador de la laguna Iberia Centro.,11/05/2017,"0,072","0,013","<0,006","<0,006","0,067","0,066","0,056","0,054","<0,0005","<0,0005",251,"<0,01","<0,01","6,539","6,458","<0,001","<0,001","121,3","120,5","2,8",-,1056,"<0,001","<0,001","<0,002","<0,002",5800,"<0,001","<0,001","40,7","<0,003","<0,003","1,7841","1,7379","0,04","0,01","0,141","0,024","0,947","0,923","51,24","50,9","0,145","0,004","<0,0001","<0,0001","0,006","0,006","<0,002","<0,002","0,43","<0,01 (0,354)","<1,00","9,07","8,02","<0,002","<0,002","<0,001","<0,001","62,5","61,1","<0,006","<0,006","15,4","15,2","767,9","751,6",6052,"12,5","646,9","<0,002","<0,007","<0,007","26,1","<0,001","<0,001","<0,001","<0,001","0,01","0,007","<0,017","<0,015","<0,017",<5,<5,<5,"<0,016","<0,012",<5,"<0,016","<0,012","<0,014","<0,017",79,"<0,015","<0,017",<2,<3,"<0,015","<0,018","<0,018","<0,023","<0,020","<0,015",<1,<1,"<0,013","<0,015","<0,016",<1,"<0,012",<2,"0,43",<1,<2,<1,<3,<1
Agua,Agua superficial,Agua superficial de ríos y quebradas,LINor1,194013,8103214,19 Sur,WGS84,-2,Simple,Oxígeno disuelto,ECA agua 2017,"Ubicado en el mirador al noreste de la laguna, en el canal que abastece a la laguna Iberia Norte.",11/05/2017,"0,054","0,019","<0,006","<0,006","0,087","0,079","0,052","0,05","<0,0005","<0,0005",273,"<0,01","<0,01","5,256","5,141","<0,001","<0,001","137,8","130,6",1,-,"677,7","<0,001","<0,001","<0,002","<0,002",4680,"<0,001","<0,001","28,5","<0,003","<0,003","1,524","1,407","0,06","0,01","0,132","0,05","0,607","0,53","44,19","40,88","0,153","0,132","<0,0001","<0,0001","0,008","0,006","<0,002","<0,002","0,17","<0,01 (1,08)","<1,00","1,76","7,32","<0,002","<0,002","<0,001","<0,001","39,67",39,"<0,006","<0,006","14,1","13,4","677,3","670,9",3108,"6,5","761,8","<0,002","<0,007","<0,007","24,8","<0,001","<0,001","<0,001","<0,001","76,53","0,084",-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,17",-,-,-,-,-
Agua,Agua superficial,Agua superficial de ríos y quebradas,LINor2,194021,8103169,19 Sur,WGS84,0,Simple,Ninguno,ECA agua 2017,Ubicado en el medio de la laguna Iberia Norte.,12/05/2017,"0,09","0,01","<0,006","<0,006","0,085","0,081","0,05","0,037","<0,0005","<0,0005",206,"<0,01","<0,01","5,239","5,151","<0,001","<0,001","135,4","128,3","26,1",-,"907,7","<0,001","<0,001","<0,002","<0,002",4820,"<0,001","<0,001","29,2","<0,003","<0,003","1,555","1,411","0,04","<0,01","0,127","0,008","0,622","0,591","44,91","40,01","0,14","0,011","<0,0001","<0,0001","0,008","0,006","<0,002","<0,002","0,15","<0,01 (0,354)","<1,00","7,4","7,84","0,002","<0,002","<0,001","<0,001","40,74","36,1","<0,006","<0,006","14,4","13,8","924,8","688,6",3380,8,"663,9","<0,002","<0,007","<0,007","25,8","0,002","<0,001","<0,001","<0,001","0,008","0,006",-,-,-,-,-,-,-,-,-,-,-,-,-,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,15",-,-,-,-,-
Agua,Agua superficial,Agua superficial de ríos y quebradas,LISur1,195149,8101837,19 Sur,WGS84,4,Simple,Ninguno,ECA agua 2017,Ubicado en el mirador de la laguna Iberia Sur.,11/05/2017,"0,125","0,014","<0,006","<0,006","0,061","0,056","0,054","0,052","<0,0005","<0,0005",238,"<0,01","<0,01","6,174","5,994","<0,001","<0,001","111,7","107,8","2,6",-,1094,"<0,001","<0,001","<0,002","<0,002",4950,"<0,001","<0,001","38,1","<0,003","<0,003","1,6315","1,5715","0,05","<0,01","0,159","0,016","0,851","0,82","48,86","47,18","0,129","0,003","<0,0001","<0,0001","0,006","0,005","<0,002","<0,002","0,13","<0,01 (0,256)","<1,00","8,53","8,03","<0,002","<0,002","<0,001","<0,001","56,46","54,7","<0,006","<0,006","15,1","14,3",931,"887,4",3412,"11,5","671,7","<0,002","<0,007","<0,007","31,4","0,003","<0,001","<0,001","<0,001","<0,004","<0,004",-,-,-,-,-,-,-,-,-,-,-,-,-,350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,13",-,-,-,-,-
Agua,Agua superficial,Agua superficial de ríos y quebradas,LISur2,195627,8101417,19 Sur,WGS84,-3,Simple,Ninguno,ECA agua 2017,Ubicado en el mirador al sureste de la laguna Iberia Sur.,11/05/2017,"0,163","0,013","<0,006","<0,006","0,058","0,058","0,055","0,052","<0,0005","<0,0005",251,"<0,01","<0,01","6,367","6,007","<0,001","<0,001","114,7","108,9","0,9",-,1037,"<0,001","<0,001","<0,002","<0,002",5090,"<0,001","<0,001","36,9","<0,003","<0,003","1,6531","1,5588","0,05","<0,01","0,198","0,024","0,856","0,812","49,2","46,88","0,132","0,028","<0,0001","<0,0001","0,005","0,005","<0,002","<0,002","0,28","<0,01 (0,256)","<1,00","6,06","7,91","<0,002","<0,002","<0,001","<0,001","55,5","54,4","<0,006","<0,006","14,6","14,4","914,8","851,2",5100,11,"679,9","<0,002","<0,007","<0,007","28,1","0,003","<0,001","<0,001","<0,001","0,007","0,004",-,-,-,-,-,-,-,-,-,-,-,-,-,350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,28",-,-,-,-,-
Agua,Agua superficial,Agua superficial de ríos y quebradas,LMej1,193667,8103432,19 Sur,WGS84,-7,Simple,Ninguno,ECA agua 2017,Ubicado en el mirador de la laguna de Mejía.,11/05/2017,"0,011","0,008","<0,006","<0,006","0,06","0,058","0,056","0,055","<0,0005","<0,0005",340,"<0,01","<0,01","5,451","5,449","<0,001","<0,001","158,1",154,"0,6",-,"981,7","<0,001","<0,001","<0,002","<0,002",5040,"<0,001","<0,001","53,5","<0,003","<0,003","1,6712","1,6071","0,06","0,01","0,086","0,033","0,668","0,618","48,46","42,38","0,18","0,106","<0,0001","<0,0001","0,005","0,005","<0,002","<0,002","0,39","<0,01 (1,08)","<1,00","6,19","7,7","0,003","<0,002","<0,001","<0,001","46,84","46,5","<0,006","<0,006","13,2","13,1","757,3","717,7",3360,"18,8","734,1","<0,002","<0,007","<0,007",23,"<0,001","<0,001","<0,001","<0,001","0,007","0,007","<0,017","<0,015","<0,017",<5,<5,<5,"<0,016","<0,012",<5,"<0,016","<0,012","<0,014","<0,017",140,"<0,015","<0,017",<2,<3,"<0,015","<0,018","<0,018","<0,023","<0,020","<0,015",<1,<1,"<0,013","<0,015","<0,016",<1,"<0,012",<2,"0,39",<1,<2,<1,<3,<1
Agua,Agua superficial,Agua superficial de ríos y quebradas,RTamb1,218955,8119620,19 Sur,WGS84,223,Simple,"As, B",ECA agua 2017,"Ubicado en la margen izquierda del río Tambo, a la altura del huaro del centro poblado La Pascana.",8/05/2017,"1,916","0,058","<0,006","<0,006","0,186","0,15","0,058","0,051","<0,0005","<0,0005",123,"<0,01","<0,01","3,796","3,429","<0,001","<0,001",103,"94,31","3,7",-,"324,9","<0,001","<0,001","0,123","0,012",1724,"<0,001","<0,001","<2,0","<0,003","<0,003","1,337","1,2362","0,06","<0,01","2,01","0,024","0,561","0,515","22,44","20,97","0,111","0,058","<0,0001","<0,0001","0,004","0,004","<0,002","<0,002","0,46","<0,01","<1,00","8,06","7,69","<0,002","<0,002","<0,001","<0,001","17,84","15,8","<0,006","<0,006","16,4","15,7",248,"229,3",1240,"40,8","260,1","<0,002","<0,007","<0,007","26,7","0,005","<0,001","<0,001","<0,001","0,093","0,006",-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agua,Agua superficial,Agua superficial de ríos y quebradas,RTamb2,213482,8115143,19 Sur,WGS84,145,Simple,"As, B",ECA agua 2017,"Ubicado en la margen derecha del río Tambo, aguas abajo del puente Santa Rosa, a la altura del restaurante Tambo de Oro del centro poblado El Fiscal.",8/05/2017,"1,889","0,016","<0,006","<0,006","0,18","0,147","0,06","0,05","<0,0005","<0,0005",120,"<0,01","<0,01","3,892","3,488","<0,001","<0,001","97,06","95,18","3,3",-,"340,9","<0,001","<0,001","0,112","<0,002",1815,"<0,001","<0,001","3,8","<0,003","<0,003","1,288","1,2495","0,07","<0,01","1,973","<0,003","0,54","0,52","20,8","20,22","0,108","0,014","<0,0001","<0,0001","0,004","0,004","<0,002","<0,002","0,66","<0,01","<1,00","8,68","7,51","<0,002","<0,002","<0,001","<0,001","15,55","14,5","<0,006","<0,006","16,3","15,1","238,7","229,5",1200,"48,8","270,1","<0,002","<0,007","<0,007","22,4","0,011","<0,001","<0,001","<0,001","0,076","<0,004",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agua,Agua superficial,Agua superficial de ríos y quebradas,RTamb3,209962,8112966,19 Sur,WGS84,97,Simple,"As, B",ECA agua 2017,"Ubicado en la margen derecha del río Tambo, aguas arriba de la bocatoma de la Junta de Usuarios Irrigación Ensenada-Mejía-Mollendo.",9/05/2017,"1,812","0,107","<0,006","<0,006","0,176","0,156","0,06","0,056","<0,0005","<0,0005",133,"<0,01","<0,01","4,004","3,379","<0,001","<0,001","106,6","97,1","2,2",-,"328,9","<0,001","<0,001","0,098","0,012",1782,"<0,001","<0,001","3,2","<0,003","<0,003","1,343","1,2289","0,06","<0,01","1,9","0,086","0,553","0,501","21,35","19,9","0,104","0,054","<0,0001","<0,0001","0,004","0,004","<0,002","<0,002","0,87","<0,01","<1,00","8,74","7,69","<0,002","<0,002","<0,001","<0,001","15,95",14,"<0,006","<0,006","15,8","15,4","244,6","219,3",1230,"45,6","277,2","<0,002","<0,007","<0,007","22,9","0,013","<0,001","<0,001","<0,001","0,07","0,009",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agua,Agua superficial,Agua superficial de ríos y quebradas,RTamb4,207821,8106908,19 Sur,WGS84,59,Simple,"As, B",ECA agua 2017,"Ubicado en la margen derecha del río Tambo, al finalizar la primera trocha desde la carretera, la cual cruza los cañaverales y arrozales del sector Chacarerío.",9/05/2017,"1,596","0,104","<0,006","<0,006","0,174","0,148","0,063","0,057","<0,0005","<0,0005",143,"<0,01","<0,01","4,163","3,727","<0,001","<0,001",111,"110,1",3,-,"350,8","<0,001","<0,001","0,089","0,013",1870,"<0,001","<0,001","3,2","<0,003","<0,003","1,482","1,374","0,05","<0,01","1,666","0,075","0,612","0,565","23,14","21,91","0,102","0,034","<0,0001","<0,0001","0,004","0,004","<0,002","<0,002","0,78","<0,01","<1,00","8,63","7,42","0,03","<0,002","<0,001","<0,001","17,37","15,5","<0,006","<0,006","16,6","16,1","269,6","246,5",1244,38,277,"<0,002","<0,007","<0,007","26,8","0,008","<0,001","<0,001","<0,001","0,065","0,007","<0,017","<0,015","<0,017",<5,<5,<5,"<0,016","<0,012",<5,"<0,016","<0,012","<0,014","<0,017",-,"<0,015","<0,017",<2,<3,"<0,015","<0,018","<0,018","<0,023","<0,020","<0,015",<1,<1,"<0,013","<0,015","<0,016",<1,"<0,012",<2,-,<1,<2,<1,<3,<1
Agua,Agua superficial,Agua superficial de ríos y quebradas,RTamb5,204853,8103600,19 Sur,WGS84,30,Simple,"As, B",ECA agua 2017,"Ubicado en la margen derecha del río Tambo, a la altura del puente Freyre y al frente de la bocatoma de la Junta de Usuarios de Punta de Bombón.",9/05/2017,"1,46","0,109","<0,006","<0,006","0,169","0,149","0,061","0,057","<0,0005","<0,0005","141,1","<0,01","<0,01","4,201","3,651","<0,001","<0,001","105,9","105,2","3,7",-,"352,8","<0,001","<0,001","0,087","0,014",1869,"<0,001","<0,001","9,6","<0,003","<0,003","1,394","1,331","0,05","<0,01","1,437","0,08","0,576","0,551","21,97","21,26","0,176","0,042","<0,0001","<0,0001","0,004","0,004","<0,002","<0,002","0,73","<0,01","<1,00","8,75","7,75","<0,002","<0,002","<0,001","<0,001","16,46","15,2","<0,006","<0,006",16,"15,4","255,8","241,4",1298,"36,4",255,"<0,002","<0,007","<0,007","23,9","0,004","<0,001","<0,001","<0,001","0,061","0,009",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agua,Agua superficial,Agua superficial de ríos y quebradas,RTamb6,197967,8099495,19 Sur,WGS84,15,Simple,"Oxígeno disuelto, Cloruros, Conductividad, Sólidos totales disueltos, Demanda química de oxígeno, As, B, Mn",ECA agua 2017,"Ubicado en la margen derecha del río Tambo, aproximadamente a 300 m antes de su desembocadura en el mar, en el Santuario Lagunas de Mejía.",11/05/2017,"1,068","0,036","<0,006","<0,006","0,124","0,109","0,08","0,073","<0,0005","<0,0005",197,"<0,01","<0,01","4,504","4,027","<0,001","<0,001","123,3",123,"0,9",-,"548,2","<0,001","<0,001","0,04","0,009",3480,"<0,001","<0,001","51,9","<0,003","<0,003","1,573","1,529","0,11","0,04","1,306","0,021","0,618","0,593","29,86","28,61","0,323","0,185","<0,0001","<0,0001","0,005","0,005","<0,002","<0,002","1,26","<0,01","<1,00","4,46","7,46","<0,002","<0,002","<0,001","<0,001","22,18","22,1","<0,006","<0,006","16,8",15,"403,8","348,8",3204,"60,8",344,"<0,002","<0,007","<0,007","23,6","0,018","<0,001","<0,001","<0,001","0,027","0,008","<0,017","<0,015","<0,017",<5,<5,<5,"<0,016","<0,012",<5,"<0,016","<0,012","<0,014","<0,017",-,"<0,015","<0,017",<2,<3,"<0,015","<0,018","<0,018","<0,023","<0,020","<0,015",<1,<1,"<0,013","<0,015","<0,016",<1,"<0,012",<2,-,<1,<2,<1,<3,<1
Agua,Agua superficial,Agua superficial de ríos y quebradas,RTamb7,231651,8115070,19 Sur,WGS84,370,Simple,"As, B",ECA agua 2017,"Ubicado en la margen izquierda del río Tambo, en el anexo El Carrizal del distrito de Cocachacra y aguas arriba del dique enrocado.",8/05/2017,"3,108","0,138","<0,006","<0,006","0,198","0,154","0,066","0,051","<0,0005","<0,0005","120,2","<0,01","<0,01","3,741","3,323","<0,001","<0,001","90,34","89,66","2,6",-,"324,9","0,006","0,002","0,139","0,011",1719,"<0,001","<0,001","<2,0","<0,003","<0,003","1,246","1,233","0,09","<0,01","2,566","0,08","0,512","0,505","19,25","19,17","0,162","0,094","<0,0001","<0,0001","0,004","0,004","<0,002","<0,002","0,56","<0,01","<1,00","8,76","7,52","<0,002","<0,002","<0,001","<0,001","15,14","14,2","<0,006","<0,006","17,7","15,7","226,9","221,2",1280,"71,6","261,4","<0,002","<0,007","<0,007","22,1","0,05","0,001","<0,001","<0,001","0,097","0,007","<0,017","<0,015","<0,017",<5,<5,<5,"<0,016","<0,012",<5,"<0,016","<0,012","<0,014","<0,017",-,"<0,015","<0,017",<2,<3,"<0,015","<0,018","<0,018","<0,023","<0,020","<0,015",<1,<1,"<0,013","<0,015","<0,016",<1,"<0,012",<2,-,<1,<2,<1,<3,<1
